dataset,column,missing_rate,anomaly_count
reviews_clean,asin,0.0,0
reviews_clean,overall,0.0,0
reviews_clean,title,0.0,0
reviews_clean,reviewText,0.0,0
reviews_clean,price,0.0,0
reviews_clean,category,0.0,0
reviews_clean,brand,0.0,0
products_clean,asin,0.0,0
products_clean,title,0.0,0
products_clean,brand,0.0,0
products_clean,category,0.0,0
products_clean,price,0.0,0
products_clean,average_rating,0.0,0
products_clean,review_count,0.0,0
products_clean,brand_source,0.0,0
products_clean,price_source,0.0,0
products_clean,category_source,0.0,0
reviews_augmented,asin,0.0,0
reviews_augmented,overall,0.0,0
reviews_augmented,title,0.0,0
reviews_augmented,reviewText,0.0,0
reviews_augmented,price,0.0,0
reviews_augmented,category,0.0,0
reviews_augmented,brand,0.0,0
reviews_augmented,augmentation_type,0.0,0
